tag,true_label,cp_prediction,prediction_set,max_probability,final_decision,fault_evidence,slow_gate_open,transient_gate_open,max_E_bar,transient_score,split_seed
20260301_204447_w60_lp1_seed1_ld_mismatch_m05,ld_mismatch,ld_mismatch,ld_mismatch,0.7540129467581489,uncertain,0,0,0,3.96058742593351,-3.1808071399751663,1
20260301_204447_w60_lp1_seed1_ld_mismatch_p05,ld_mismatch,ld_mismatch,ld_mismatch,0.7540129467581489,uncertain,0,0,0,3.96058742593351,-3.1808071399751663,1
20260301_204447_w60_lp1_seed1_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,0.7540129467581489,uncertain,0,0,0,3.96058742593351,-3.1808071399751663,1
20260301_204447_w60_lp1_seed1_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,0.7540129467581489,uncertain,0,0,0,3.96058742593351,-3.1808071399751663,1
20260301_204447_w60_lp1_seed2_healthy_r0,healthy,ld_mismatch,ld_mismatch,0.761218804030885,uncertain,0,0,0,4.014442413869402,-3.208469153119901,1
20260301_204447_w60_lp1_seed2_healthy_r1,healthy,healthy,healthy,1.0,healthy,0,0,0,3.9315894782717313,-3.165275978776185,1
20260301_204447_w60_lp1_seed2_healthy_r2,healthy,healthy,healthy,0.9959245014245013,healthy,0,0,0,3.9193680858208966,-3.1821261382094805,1
20260301_204447_w60_lp1_seed2_rs_drift_p02,rs_drift,rs_drift,rs_drift,0.9928571428571429,rs_drift,1,1,1,185.73164481197193,-1.1724553123394497,1
20260301_204447_w60_lp1_seed2_rs_drift_p05,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,1131.552501384335,1.6562391477102203,1
20260301_204447_w60_lp1_seed2_rs_drift_p08,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,2884.1652914167075,3.3949962547782384,1
20260301_204447_w60_lp1_seed2_rs_drift_p10,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,4501.219844726583,4.248735518689642,1
20260301_204447_w60_lp1_seed2_rs_drift_p15,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,10116.096443045753,5.8209546848404,1
20260301_204447_w60_lp1_seed2_rs_drift_p20,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,17980.521917539158,6.942793001292753,1
20260301_204447_w60_lp1_seed2_rs_drift_p30,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,40478.774878559045,8.52183756486904,1
20260301_204447_w60_lp1_seed2_rs_drift_p40,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,72031.25150998273,9.635634354969968,1
20260301_204447_w60_lp1_seed2_ld_mismatch_m20,ld_mismatch,ld_mismatch,ld_mismatch,0.761218804030885,uncertain,0,0,0,4.014442413869402,-3.208469153119901,1
20260301_204447_w60_lp1_seed2_ld_mismatch_m10,ld_mismatch,ld_mismatch,ld_mismatch,0.761218804030885,uncertain,0,0,0,4.014442413869402,-3.208469153119901,1
20260301_204447_w60_lp1_seed2_ld_mismatch_m05,ld_mismatch,ld_mismatch,ld_mismatch,0.761218804030885,uncertain,0,0,0,4.014442413869402,-3.208469153119901,1
20260301_204447_w60_lp1_seed2_ld_mismatch_p05,ld_mismatch,ld_mismatch,ld_mismatch,0.761218804030885,uncertain,0,0,0,4.014442413869402,-3.208469153119901,1
20260301_204447_w60_lp1_seed2_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,0.761218804030885,uncertain,0,0,0,4.014442413869402,-3.208469153119901,1
20260301_204447_w60_lp1_seed2_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,0.761218804030885,uncertain,0,0,0,4.014442413869402,-3.208469153119901,1
20260301_204447_w40_lp1_seed0_healthy_r0,healthy,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.1742521448269336,2
